,Unnamed: 0,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,type
2129,2129,Terriers,2010,18+,8.4,92%,0,1,0,0,1
2130,2130,UnREAL,2015,18+,7.8,82%,0,1,0,0,1
2131,2131,Blackadder,1983,7+,8.1,,0,1,1,0,1
2132,2132,The Hitchhiker's Guide to the Galaxy,1981,7+,8.0,67%,0,1,1,0,1
2133,2133,Witches of East End,2013,16+,7.6,65%,0,1,0,0,1
2134,2134,The Wonder Years,1988,7+,8.3,,0,1,0,0,1
2135,2135,Robot Chicken,2005,18+,7.7,,0,1,0,0,1
2136,2136,Harlots,2017,18+,7.7,98%,0,1,0,0,1
2137,2137,Good Behavior,2016,16+,8.1,78%,0,1,0,0,1
2138,2138,The Golden Girls,1985,7+,7.9,,0,1,0,0,1
2139,2139,RuPaul's Drag Race All Stars,2012,16+,8.6,70%,0,1,0,0,1
2140,2140,Will & Grace,1998,16+,7.2,,0,1,0,0,1
2141,2141,The Outer Limits,1963,7+,8.2,91%,0,1,0,0,1
2142,2142,Salem,2014,18+,7.1,82%,0,1,0,0,1
2143,2143,The Hot Zone,2019,16+,7.3,90%,0,1,0,0,1
2144,2144,Baskets,2016,18+,7.5,92%,0,1,0,0,1
2145,2145,Make It or Break It,2009,16+,7.5,79%,0,1,0,0,1
2146,2146,The Great,2020,,7.8,81%,0,1,0,0,1
2147,2147,Sliders,1995,7+,7.4,,0,1,0,0,1
2148,2148,The Amazing World of Gumball,2011,7+,8.2,,0,1,0,0,1
2149,2149,A Million Little Things,2018,16+,7.9,53%,0,1,0,0,1
2150,2150,Man Seeking Woman,2015,18+,7.7,93%,0,1,0,0,1
2151,2151,Wu-Tang: An American Saga,2019,18+,8.3,80%,0,1,0,0,1
2152,2152,Ally McBeal,1997,16+,6.8,61%,0,1,0,0,1
2153,2153,Siren,2018,16+,7.0,,0,1,0,0,1
2154,2154,The Detour,2016,7+,7.7,90%,0,1,0,0,1
2155,2155,Kaguya-sama: Love is War,2019,16+,8.1,,0,1,0,0,1
2156,2156,My Mad Fat Diary,2013,16+,8.4,95%,0,1,0,0,1
2157,2157,High School DxD,2012,18+,7.6,,0,1,0,0,1
2158,2158,Face Off,2011,7+,8.2,,0,1,0,0,1
2159,2159,Mom,2013,16+,7.2,,0,1,0,0,1
2160,2160,Full House,1987,all,6.7,,0,1,0,0,1
2161,2161,ER,1994,16+,7.7,,0,1,0,0,1
2162,2162,PEN15,2019,18+,7.9,93%,0,1,0,0,1
