,Unnamed: 0,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,type
2402,2402,Being Erica,2009,16+,7.5,,0,1,1,0,1
2404,2404,Dark Shadows,1966,7+,7.5,,0,1,1,0,1
2418,2418,Medium,2005,16+,6.9,,0,1,1,0,1
2429,2429,Unsolved Mysteries,1987,7+,8.3,,0,1,1,0,1
2433,2433,Married at First Sight,2014,16+,6.3,,0,1,1,0,1
2444,2444,Big Time Rush,2009,all,6.2,,0,1,1,0,1
2460,2460,Horrible Histories,2009,7+,8.8,,0,1,1,0,1
2471,2471,The Rifleman,1958,7+,8.3,,0,1,1,0,1
2473,2473,The Greatest American Hero,1981,7+,7.3,,0,1,1,0,1
2487,2487,Jeremiah,2002,18+,7.0,,0,1,1,0,1
2496,2496,Storage Wars,2010,7+,6.4,,0,1,1,0,1
2522,2522,Un village français,2009,,8.3,,0,1,1,0,1
2549,2549,Melrose Place,1992,16+,5.8,,0,1,1,0,1
2551,2551,Locked Up Abroad,2006,16+,8.2,,0,1,1,0,1
2556,2556,City Homicide,2001,,7.4,,0,1,1,0,1
2559,2559,Baywatch,1989,7+,5.3,,0,1,1,0,1
2568,2568,Cardfight!! Vanguard,2011,16+,7.2,,0,1,1,0,1
2600,2600,Whose Line Is It Anyway? (UK),1988,7+,8.2,,0,1,1,0,1
2611,2611,Deadly Women,2005,16+,8.0,,0,1,1,0,1
2627,2627,Bring It!,2014,7+,6.6,,0,1,1,0,1
2642,2642,7th Heaven,1996,7+,5.2,,0,1,1,0,1
2649,2649,The Slap,2015,16+,7.6,67%,0,1,1,0,1
2653,2653,Buzzfeed Unsolved: Supernatural,2016,,8.7,,0,1,1,0,1
2655,2655,Say Yes to the Dress,2007,7+,5.6,,0,1,1,0,1
2656,2656,Father Knows Best,1954,all,7.4,,0,1,1,0,1
2658,2658,BuzzFeed Unsolved - True Crime,2016,,8.9,,0,1,1,0,1
2673,2673,The Passing Bells,2014,,6.9,,0,1,1,0,1
2678,2678,Swamp People,2010,7+,6.3,,0,1,1,0,1
2692,2692,The Hills,2006,7+,3.5,52%,0,1,1,0,1
2705,2705,Paradox,2009,16+,7.1,,0,1,1,0,1
2708,2708,The Lowe Files,2017,7+,6.7,60%,0,1,1,0,1
2716,2716,The Electric Company,1971,all,8.1,,0,1,1,0,1
2723,2723,Quick Draw,2013,,7.6,,0,1,1,0,1
2731,2731,Himouto! Umaru-chan,2015,16+,7.0,,0,1,1,0,1
2735,2735,Criminal Minds: Suspect Behavior,2011,16+,6.3,42%,0,1,1,0,1
2741,2741,Astro Boy,1980,all,7.3,,0,1,1,0,1
2763,2763,Little Women: LA,2014,16+,5.4,,0,1,1,0,1
2775,2775,Rick Steves' Europe,2000,all,8.4,,0,1,1,0,1
2795,2795,Princess Tutu,2002,16+,8.1,,0,1,1,0,1
2797,2797,James May's Man Lab,2010,,7.8,,0,1,1,0,1
2819,2819,Cold Squad,1998,16+,6.9,,0,1,1,0,1
2840,2840,Monster Rancher,1999,7+,7.1,,0,1,1,0,1
2843,2843,Yu-Gi-Oh! 5D's,2008,all,6.7,,0,1,1,0,1
2862,2862,Worth It,2016,,8.6,,0,1,1,0,1
2869,2869,The Gumby Show,1955,all,7.0,,0,1,1,0,1
2872,2872,Madeline,1993,all,6.9,,0,1,1,0,1
2873,2873,Ruyi's Royal Love in the Palace,2018,,7.6,,0,1,1,0,1
